speaker,vowel/frame,context,F1,F2
M1960,OU,stone,648.8950711,1403.760896
M1960,u,fuss,821.8061884,1394.255158
M1960,u,hug,762.7076519,1300.037865
M1960,u,rough,787.2998058,1370.491177
M1960,u,buzz,822.4981376,1352.341177
M1960,u,gull,632.8320659,1295.590057
M1960,u,mud,801.8949136,1356.503043
M1960,u,stuck,734.0626215,1385.465967
M1960,u,mutt,806.0882883,1320.036192
M1960,u,gully,711.5753126,1160.048096
M1960,u,run,886.6847382,1461.615162
M1960,u,gum,822.9868131,1435.192788
M1960,UU,supermarket,447.6535617,1488.495009
M1960,UU,room,434.8492944,1290.445246
M1960,UU,food,425.9361187,1463.773149
M1957,ae,staff,658.8829526,1675.336498
M1957,ae,stack,587.0482468,1602.454072
M1957,ae,ham,617.0849979,2061.54653
M1957,ae,lab,614.1699714,1654.569856
M1957,ae,pass,680.0440463,1570.654332
M1957,ae,valley,691.0723657,1450.848857
M1957,ae,jazz,619.9787057,1772.241326
M1957,ae,bad,588.2789181,1777.381248
M1957,ae,pan,590.9548548,1924.181885
M1957,ae,rat,799,1700
M1957,ae,sal,707.3277115,1709.189482
M1957,AI,buy,644.051915,1179.314724
M1957,AI,mike,603.9353316,1270.518107
M1957,AI,mike,622.1373168,1199.853884
M1957,e,bet,542.9113609,1724.667767
M1957,e,bed,528.7135417,1779.430169
M1957,e,pen,580.4398872,1971.294008
M1957,e,says,503.0606548,1920
M1957,e,sell,551.3623582,1669.936419
M1957,e,neck,593.7198486,1979.832562
M1957,e,belly,533.362925,1615.071084
M1957,e,stef,568.4656777,1755.689457
M1957,e,beg,558.8973157,1963.319753
M1957,e,jess,554.4598413,1570.923448
M1957,e,gem,581.0926373,2025.016548
M1957,EI,make,596.7126814,1730.196786
M1957,EI,make,443.7729436,1763.793918
M1957,EI,game,328.7574439,2175.982622
M1957,EI,play,394.4124638,2122.380785
M1957,I,bit,448.3662558,2108.194652
M1957,II,sleep,303.5205511,1713.733806
M1957,II,believe,377.4805218,2222.30329
M1957,II,easy,359.915364,2375.837228
M1957,II,keeps,283.5970709,2364.249671
M1957,II,clean,465.5645172,2017.528687
M1957,II,treat,325,2100
M1957,o,mall,579.3728842,802.8931885
M1957,o,loss,569.6118964,1159.551048
M1957,o,knob,637.267458,1048.645439
M1957,o,sock,584.2637247,877.5913104
M1957,o,cause,572.7786532,964.6502067
M1957,o,nod,561.8839874,1055.89224
M1957,o,holly,669.5602243,1056.637886
M1957,o,gone,621.5884031,1016.31719
M1957,o,soft,658.5974463,1066.715012
M1957,o,mom,599.126638,1073.03829
M1957,o,lot,623.0479503,1153.451382
M1957,OR,door,437.0015917,874.0007561
