"Subject","Gender","Age","BirthYear","LabovHierarchy","Trial","Trial_c","F1","F2","F1_c","F2_c","RT","RT_c","LogRT","LogRT_c","Response","ChosenVowel","F1_ae","F2_ae","F1_e","F2_e","F1_o","F2_o","F1_u","F2_u","ED_e","ED_ae","ED_both"
"M1988","M","young",1988,2,54,-0.5,800,1650,-25,75,762,232.050223214286,6.63594655568665,0.539163705023664,"BET","e",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,55,0.5,800,1300,-25,-275,469,-60.9497767857143,6.15060276844628,0.0538199177832963,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,56,1.5,800,1800,-25,225,892,362.050223214286,6.79346613258001,0.696683281917027,"BET","e",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,57,2.5,700,1650,-125,75,3019,2489.05022321429,8.01268092970684,1.91589807904386,"BET","e",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,58,3.5,800,1950,-25,375,293,-236.949776785714,5.68017260901707,-0.416610241645915,"BET","e",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,59,4.5,850,1650,25,75,298,-231.949776785714,5.6970934865054,-0.399689364157578,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,60,5.5,700,1350,-125,-225,551,21.0502232142857,6.31173480915291,0.214951958489932,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,61,6.5,900,1600,75,25,273,-256.949776785714,5.60947179518496,-0.487311055478023,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,62,7.5,850,1250,25,-325,600,70.0502232142857,6.39692965521615,0.300146804553163,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,63,8.5,700,1200,-125,-375,270,-259.949776785714,5.59842195899838,-0.498360891664608,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,64,9.5,750,1300,-75,-275,289,-240.949776785714,5.66642668811243,-0.430356162550551,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,65,10.5,750,1500,-75,-75,738,208.050223214286,6.60394382460047,0.50716097393749,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,66,11.5,950,1750,125,175,277,-252.949776785714,5.62401750618734,-0.472765344475644,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,67,12.5,900,1700,75,125,171,-358.949776785714,5.14166355650266,-0.955119294160323,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,68,13.5,850,1750,25,175,150,-379.949776785714,5.01063529409626,-1.08614755656673,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,69,14.5,700,1250,-125,-325,449,-80.9497767857143,6.10702288774225,0.0102400370792717,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,70,15.5,700,1900,-125,325,306,-223.949776785714,5.72358510195238,-0.373197748710602,"BET","e",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,71,16.5,850,1550,25,-25,288,-241.949776785714,5.66296048013595,-0.433822370527037,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,72,17.5,750,1950,-75,375,268,-261.949776785714,5.59098698051086,-0.505795870152126,"BET","e",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,73,18.5,700,1400,-125,-175,1210,680.050223214286,7.09837563859079,1.0015927879278,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
